Exposure,Exposure.Domain,Outcome.Name,Association,Outcome.Domain.Level.2,Outcome.Domain.Level.1,Biospecimen,Dataset_id,Datasets.Type,Dataset.Source,Linked.Dataset.ID,Linked.Dataset.Name
Laboratory exposure to unhealthy air quality,Air Quality,blastulation rate,Null,Reproductive Health,Health Outcome,Embryos;Blastocysts,38244020,Literature,PubMed,,
Patient exposure to unhealthy air quality,Air Quality,blastulation rate,Null,Reproductive Health,Health Outcome,Embryos;Blastocysts,38244020,Literature,PubMed,,
Laboratory exposure to unhealthy air quality,Air Quality,number of blastocysts obtained,Negative,Reproductive Health,Health Outcome,Embryos;Blastocysts,38244020,Literature,PubMed,,
Laboratory exposure to unhealthy air quality,Air Quality,cycles with no blastocysts obtained,Positive,Reproductive Health,Health Outcome,Embryos;Blastocysts,38244020,Literature,PubMed,,
Patient exposure to unhealthy air quality,Air Quality,IVF treatment outcomes,Null,Reproductive Health,Health Outcome,Embryos;Blastocysts,38244020,Literature,PubMed,,
Wildfire smoke exposure,Air Quality,pregnancy outcomes,Null,Reproductive Health,Health Outcome,Embryos;Blastocysts,38244020,Literature,PubMed,,
O3,Air Quality,emphysema progression,Positive,Respiratory Health,Health Outcome,,38226871,Literature,PubMed,,
PM2.5,Air Quality,spontaneous abortion (SAB),Positive,Reproductive Health,Health Outcome,,38157969,Literature,PubMed,,
PM2.5,Air Quality,spontaneous abortion (SAB),Null,Reproductive Health,Health Outcome,,38157969,Literature,PubMed,,
NO2,Air Quality,spontaneous abortion (SAB),Null,Reproductive Health,Health Outcome,,38157969,Literature,PubMed,,
O3,Air Quality,spontaneous abortion (SAB),Null,Reproductive Health,Health Outcome,,38157969,Literature,PubMed,,
PM2.5,Air Quality,adult premature mortality,Positive,Mortality,Health Outcome,,37997110,Literature,PubMed,,
PM2.5,Air Quality,"fecundability (US, annual average)",Null,Fertility,Health Outcome,,37862861,Literature,PubMed,,
PM2.5,Air Quality,"fecundability (US, cycle-specific)",Null,Fertility,Health Outcome,,37862861,Literature,PubMed,,
PM2.5,Air Quality,"fecundability (US, preconception average)",Null,Fertility,Health Outcome,,37862861,Literature,PubMed,,
PM2.5,Air Quality,"fecundability (Canada, annual average)",Null,Fertility,Health Outcome,,37862861,Literature,PubMed,,
PM2.5,Air Quality,"fecundability (Canada, cycle-specific)",Null,Fertility,Health Outcome,,37862861,Literature,PubMed,,
PM2.5,Air Quality,"fecundability (Canada, preconception average)",Null,Fertility,Health Outcome,,37862861,Literature,PubMed,,
NO2,Air Quality,fecundability,Null,Fertility,Health Outcome,,37862861,Literature,PubMed,,
O3,Air Quality,fecundability,Null,Fertility,Health Outcome,,37862861,Literature,PubMed,,
PM2.5,Air Quality,lung cancer incidence,Positive,Oncology,Health Outcome,,37847981,Literature,PubMed,,
NO2,Air Quality,lung cancer incidence,Positive,Oncology,Health Outcome,,37847981,Literature,PubMed,,
PM2.5,Air Quality,"new onset type 2 diabetes (REGARDS cohort, suburban/small town)",Positive,Metabolic Health,Health Outcome,,37827369,Literature,PubMed,,
PM2.5,Air Quality,"new onset type 2 diabetes (REGARDS cohort, other community types)",Null,Metabolic Health,Health Outcome,,37827369,Literature,PubMed,,
PM2.5,Air Quality,new onset type 2 diabetes (Geisinger sample),Null,Metabolic Health,Health Outcome,,37827369,Literature,PubMed,,
O3,Air Quality,new onset type 2 diabetes (Geisinger sample),Null,Metabolic Health,Health Outcome,,37827369,Literature,PubMed,,
PM2.5,Air Quality,new onset type 2 diabetes (VADR sample),Null,Metabolic Health,Health Outcome,,37827369,Literature,PubMed,,
O3,Air Quality,new onset type 2 diabetes (VADR sample),Null,Metabolic Health,Health Outcome,,37827369,Literature,PubMed,,
PM2.5,Air Quality,gestational diabetes mellitus,Positive,Maternal Health;Metabolic Health,Health Outcome,,37727593,Literature,PubMed,,
NO2,Air Quality,gestational diabetes mellitus,Positive,Maternal Health;Metabolic Health,Health Outcome,,37727593,Literature,PubMed,,
O3,Air Quality,gestational diabetes mellitus,Null,Maternal Health;Metabolic Health,Health Outcome,,37727593,Literature,PubMed,,
PM2.5 and Corticosteroid therapy,Air Quality,heart failure (HF),Positive,Cardiovascular Health,Health Outcome,,37709308,Literature,PubMed,,
PM2.5 and Corticosteroid therapy,Air Quality,heart failure (HF),Positive,Cardiovascular Health,Health Outcome,,37709308,Literature,PubMed,,
PM2.5 and Corticosteroid therapy,Air Quality,myocardial infarction or acute coronary syndrome (MI/ACS),Positive,Cardiovascular Health,Health Outcome,,37709308,Literature,PubMed,,
NO2,Air Quality,Sociodemographic disparities,Positive,Environmental Justice;Maternal Health,Health Outcome,,37566419,Literature,PubMed,,
PM2.5,Air Quality,deterioration to intensive care,Positive,Infectious Disease,Health Outcome,,37558120,Literature,PubMed,,
PM2.5,Air Quality,deterioration to death,Positive,Infectious Disease,Health Outcome,,37558120,Literature,PubMed,,
O3,Air Quality,transition from recovery to death,Positive,Infectious Disease,Health Outcome,,37558120,Literature,PubMed,,
O3,Air Quality,deterioration to intensive care and death,Positive,Infectious Disease,Health Outcome,,37558120,Literature,PubMed,,
NO2,Air Quality,transition risks,Positive,Infectious Disease,Health Outcome,,37558120,Literature,PubMed,,
PM2.5,Air Quality,respiratory-related hospitalizations,Negative,Respiratory Health;Cardiovascular Health,Health Outcome,,37386433,Literature,PubMed,,
PM2.5,Air Quality,cardiovascular (CVD) hospitalizations,Negative,Respiratory Health;Cardiovascular Health,Health Outcome,,37386433,Literature,PubMed,,
PM2.5,Air Quality,all-cause hospitalizations,Positive,Respiratory Health;Cardiovascular Health,Health Outcome,,37386433,Literature,PubMed,,
"co-exposure to the five metals (Pb, Mn, Cd, Cr, and As)",Air Quality,intelligence quotient (IQ) score,Negative,Cognitive Growth,Health Outcome,,37187629,Literature,PubMed,,
PM2.5,Air Quality,gestational diabetes mellitus,Positive,Maternal Health;Metabolic Health,Health Outcome,,37182828,Literature,PubMed,,
PM2.5,Air Quality,all-cause mortality,Positive,All-cause mortality,Health Outcome,,37074132,Literature,PubMed,,
black carbon,Air Quality,all-cause mortality,Positive,All-cause mortality,Health Outcome,,37074132,Literature,PubMed,,
PM2.5,Air Quality,transient ischemic attack,Positive,Cardiovascular Health,Health Outcome,,37070398,Literature,PubMed,,
PM2.5,Air Quality,venous thromboembolism,Positive,Cardiovascular Health,Health Outcome,,37070398,Literature,PubMed,,
PM2.5,Air Quality,heart failure,Positive,Cardiovascular Health,Health Outcome,,37070398,Literature,PubMed,,
PM2.5,Air Quality,first hospital admission for AKI,Positive,Renal Health,Health Outcome,,37036790,Literature,PubMed,,
NO2,Air Quality,first hospital admission for AKI,Positive,Renal Health,Health Outcome,,37036790,Literature,PubMed,,
O3,Air Quality,first hospital admission for AKI,Positive,Renal Health,Health Outcome,,37036790,Literature,PubMed,,
air quality index,Other,MVPA before and after MBS,Negative,Obesity;Metabolic Health,Health Outcome,,36993516,Literature,PubMed,,
air quality index,Other,ST before MBS,Negative,Obesity;Metabolic Health,Health Outcome,,36993516,Literature,PubMed,,
NO2,Air Quality,biparietal diameter (BPD),Negative,Fetal Growth;Offspring Health,Health Outcome,,36963378,Literature,PubMed,,
NO2,Air Quality,head circumference,Negative,Fetal Growth;Offspring Health,Health Outcome,,36963378,Literature,PubMed,,
NO2,Air Quality,femur length,Negative,Fetal Growth;Offspring Health,Health Outcome,,36963378,Literature,PubMed,,
NO2,Air Quality,abdominal circumference,Negative,Fetal Growth;Offspring Health,Health Outcome,,36963378,Literature,PubMed,,
PM2.5,Air Quality,Incident AMI,Positive,Cardiovascular Health,Health Outcome,,36826819,Literature,PubMed,,
PM2.5,Air Quality,ischemic heart disease (IHD) mortality,Positive,Cardiovascular Health,Health Outcome,,36826819,Literature,PubMed,,
PM2.5,Air Quality,cardiovascular disease (CVD) mortality,Positive,Cardiovascular Health,Health Outcome,,36826819,Literature,PubMed,,
PM2.5,Air Quality,Incident AMI,Positive,Cardiovascular Health,Health Outcome,,36826819,Literature,PubMed,,
PM2.5,Air Quality,ischemic heart disease (IHD) mortality,Positive,Cardiovascular Health,Health Outcome,,36826819,Literature,PubMed,,
cadmium,Air Quality,urinary cadmium concentrations,Positive,,Health Outcome,Urine,36764435,Literature,PubMed,,
PM2.5,Air Quality,lower albumin,Positive,Kidney Failure;Inflammation,Health Outcome,Serum,36700905,Literature,PubMed,,
PM2.5,Air Quality,lower hemoglobin,Positive,Kidney Failure;Inflammation,Health Outcome,Serum,36700905,Literature,PubMed,,
PM2.5,Air Quality,higher ferritin,Null,Kidney Failure;Inflammation,Health Outcome,Serum,36700905,Literature,PubMed,,
PM2.5,Air Quality,lower TSAT,Null,Kidney Failure;Inflammation,Health Outcome,Serum,36700905,Literature,PubMed,,
PM2.5,Air Quality,first documented diabetes occurrence,Positive,Metabolic Health,Health Outcome,,36634862,Literature,PubMed,,
NO2,Air Quality,first documented diabetes occurrence,Positive,Metabolic Health,Health Outcome,,36634862,Literature,PubMed,,
O3,Air Quality,first documented diabetes occurrence,Null,Metabolic Health,Health Outcome,,36634862,Literature,PubMed,,
PM2.5 mass,Other,COVID-19 death,Positive,Infectious Disease,Health Outcome,,36565571,Literature,PubMed,,
PM2.5 nitrates,Other,COVID-19 death,Positive,Infectious Disease,Health Outcome,,36565571,Literature,PubMed,,
PM2.5 elemental carbon,Other,COVID-19 death,Positive,Infectious Disease,Health Outcome,,36565571,Literature,PubMed,,
PM2.5 on-road diesel,Other,COVID-19 death,Positive,Infectious Disease,Health Outcome,,36565571,Literature,PubMed,,
PM2.5 on-road gasoline,Other,COVID-19 death,Positive,Infectious Disease,Health Outcome,,36565571,Literature,PubMed,,
humidity,Other,COVID-19 death,Negative,Infectious Disease,Health Outcome,,36565571,Literature,PubMed,,
temperature,Other,COVID-19 death,Negative,Infectious Disease,Health Outcome,,36565571,Literature,PubMed,,
PM2.5,Air Quality,first hospitalization with Alzheimer's disease and related dementias (ADRD),Positive,Neurological Health,Health Outcome,,36521347,Literature,PubMed,,
NO2,Air Quality,first hospitalization with Alzheimer's disease and related dementias (ADRD),Positive,Neurological Health,Health Outcome,,36521347,Literature,PubMed,,
ambient temperature,Weather,abdominal circumference (AC),Negative,Fetal Growth,Health Outcome,,36495569,Literature,PubMed,,
ambient temperature,Weather,birthweight (BW),Negative,Fetal Growth,Health Outcome,,36495569,Literature,PubMed,,
calibrated PM2.5,Air Quality,all-cause mortality,Positive,All-cause mortality,Health Outcome,,36375508,Literature,PubMed,,
error-prone PM2.5,Air Quality,all-cause mortality,Positive,All-cause mortality,Health Outcome,,36375508,Literature,PubMed,,
PM2.5,Air Quality,atrial fibrillation (AF),Positive,Cardiovascular Health,Health Outcome,,36283157,Literature,PubMed,,
PM2.5,Air Quality,congestive heart failure (CHF),Positive,Cardiovascular Health,Health Outcome,,36283157,Literature,PubMed,,
PM2.5,Air Quality,stroke,Positive,Cardiovascular Health,Health Outcome,,36283157,Literature,PubMed,,
NO2,Air Quality,atrial fibrillation (AF),Positive,Cardiovascular Health,Health Outcome,,36283157,Literature,PubMed,,
NO2,Air Quality,congestive heart failure (CHF),Positive,Cardiovascular Health,Health Outcome,,36283157,Literature,PubMed,,
NO2,Air Quality,stroke,Positive,Cardiovascular Health,Health Outcome,,36283157,Literature,PubMed,,
warm-season O3,Air Quality,congestive heart failure (CHF),Positive,Cardiovascular Health,Health Outcome,,36283157,Literature,PubMed,,
warm-season O3,Air Quality,stroke,Positive,Cardiovascular Health,Health Outcome,,36283157,Literature,PubMed,,
PM2.5,Other,irritable bowel syndrome (IBS),Positive,Gastrointestinal Health,Health Outcome,,36202347,Literature,PubMed,,
PM2.5,Other,functional dyspepsia,Positive,Gastrointestinal Health,Health Outcome,,36202347,Literature,PubMed,,
O3,Other,inflammatory bowel diseases (IBDs),Null,Gastrointestinal Health,Health Outcome,,36202347,Literature,PubMed,,
O3,Other,eosinophilic esophagitis (EoE),Null,Gastrointestinal Health,Health Outcome,,36202347,Literature,PubMed,,
3rd trimester PM2.5,Air Quality,early childhood cognition scores in females in PRISM-Boston,Negative,Neurological Health,Health Outcome,,36030921,Literature,PubMed,,
PM2.5,Air Quality,critical CHD diagnosis,Null,Cardiovascular Health,Health Outcome,,35759718,Literature,PubMed,,
O3,Air Quality,critical CHD diagnosis,Null,Cardiovascular Health,Health Outcome,,35759718,Literature,PubMed,,
PM2.5,Air Quality,critical CHD diagnosis,Positive,Cardiovascular Health,Health Outcome,,35759718,Literature,PubMed,,
O3,Air Quality,critical CHD diagnosis,Negative,Cardiovascular Health,Health Outcome,,35759718,Literature,PubMed,,
PM2.5,Air Quality,cardiac troponin I,Positive,Cardiovascular Health,Health Outcome,,35750420,Literature,PubMed,,
PM2.5,Air Quality,sepsis-related mortality,Positive,Sepsis,Health Outcome,,35717154,Literature,PubMed,,
PM2.5,Air Quality,CV event,Positive,Cardiovascular Health,Health Outcome,,35690155,Literature,PubMed,,
PM2.5,Air Quality,CVD-specific mortality,Positive,Cardiovascular Health,Health Outcome,,35690155,Literature,PubMed,,
NO2,Air Quality,socioeconomic status (SES),Positive,Environmental Health,Health Outcome,,35674427,Literature,PubMed,,
PM2.5,Air Quality,socioeconomic status (SES),Positive,Environmental Health,Health Outcome,,35674427,Literature,PubMed,,
NO2,Air Quality,rural-to-urban migration status,Positive,Environmental Health,Health Outcome,,35674427,Literature,PubMed,,
PM2.5,Air Quality,rural-to-urban migration status,Positive,Environmental Health,Health Outcome,,35674427,Literature,PubMed,,
NO2,Air Quality,minority status,Positive,Environmental Health,Health Outcome,,35674427,Literature,PubMed,,
PM2.5,Air Quality,minority status,Positive,Environmental Health,Health Outcome,,35674427,Literature,PubMed,,
NO2,Air Quality,lung cancer risk,Positive,Oncology;Respiratory Health,Health Outcome,,35649154,Literature,PubMed,,
CO,Air Quality,lung cancer risk,Positive,Oncology;Respiratory Health,Health Outcome,,35649154,Literature,PubMed,,
regional benzene,Air Quality,lung cancer risk,Positive,Oncology;Respiratory Health,Health Outcome,,35649154,Literature,PubMed,,
PM2.5,Air Quality,COVID-19-related hospitalizations,Positive,Infectious Disease;Respiratory Health,Health Outcome,,35537137,Literature,PubMed,,
PM2.5,Air Quality,intensive respiratory support (IRS),Positive,Infectious Disease;Respiratory Health,Health Outcome,,35537137,Literature,PubMed,,
PM2.5,Air Quality,ICU admissions,Positive,Infectious Disease;Respiratory Health,Health Outcome,,35537137,Literature,PubMed,,
PM2.5,Air Quality,mortality,Positive,Infectious Disease;Respiratory Health,Health Outcome,,35537137,Literature,PubMed,,
NO2,Air Quality,COVID-19-related hospitalizations,Positive,Infectious Disease;Respiratory Health,Health Outcome,,35537137,Literature,PubMed,,
NO2,Air Quality,intensive respiratory support (IRS),Positive,Infectious Disease;Respiratory Health,Health Outcome,,35537137,Literature,PubMed,,
